date	EGP/USD
Jan-15	7.53
Feb-15	7.53
Mar-15	7.53
Apr-15	7.53
May-15	7.53
Jun-15	7.53
Jul-15	7.73
Aug-15	7.73
Sep-15	7.73
Oct-15	7.93
Nov-15	7.73
Dec-15	7.73
Jan-16	7.73
Feb-16	7.73
Mar-16	8.78
Apr-16	8.78
May-16	8.78
Jun-16	8.78
Jul-16	8.78
Aug-16	8.78
Sep-16	8.78
Oct-16	8.78
Nov-16	17.95
Dec-16	18.27
Jan-17	18.81
Feb-17	15.82
Mar-17	18.14
Apr-17	18.08
May-17	18.09
Jun-17	18.09
Jul-17	17.89
Aug-17	17.65
Sep-17	17.65
Oct-17	17.65
Nov-17	17.72
Dec-17	17.73
Jan-18	17.67
Feb-18	17.64
Mar-18	17.64
Apr-18	17.66
May-18	17.90
Jun-18	17.89
Jul-18	17.87
Aug-18	17.90
Sep-18	17.91
Oct-18	17.91
Nov-18	17.91
Dec-18	17.91
Jan-19	17.66
Feb-19	17.53
Mar-19	17.32
Apr-19	17.17
May-19	16.81
Jun-19	16.71
Jul-19	16.56
Aug-19	16.56
Sep-19	16.27
Oct-19	16.14
Nov-19	16.12
Dec-19	16.04
Jan-20	15.81
Feb-20	15.62
Mar-20	15.75
Apr-20	15.75
May-20	15.89
Jun-20	16.14
Jul-20	15.98
Aug-20	15.86
Sep-20	15.76
Oct-20	15.71
Nov-20	15.66
Dec-20	15.73
Jan-21	15.73
Feb-21	15.71
Mar-21	15.71
Apr-21	15.68
May-21	15.68
Jun-21	15.68
Jul-21	15.70
Aug-21	15.70
Sep-21	15.71
Oct-21	15.71
Nov-21	15.71
Dec-21	15.71
Jan-22	15.71
Feb-22	15.71
Mar-22	18.26
Apr-22	18.49
May-22	18.59
Jun-22	18.80
Jul-22	18.95
Aug-22	19.22
Sep-22	19.55
Oct-22	24.12
Nov-22	24.58
Dec-22	24.74
Jan-23	30.19
Feb-23	30.63
Mar-23	30.90
Apr-23	30.90
May-23	30.90
Jun-23	30.90
Jul-23	30.90
Aug-23	30.89
Sep-23	30.89
Oct-23	30.89
Nov-23	30.89
Dec-23	30.89
Jan-24	30.89
Feb-24	30.89
Mar-24	45.41
Apr-24	47.88
May-24	47.34
Jun-24	47.62
Jul-24	48.20
Aug-24	48.95
Sep-24	48.47
Oct-24	48.61
Nov-24	49.40
Dec-24	50.57
Jan-25	50.42
Feb-25	50.50
Mar-25	50.62
Apr-25	51.07
May-25	50.21
Jun-25	50.03
Jul-25	49.25
Aug-25	48.48
Sep-25	48.22
Oct-25	47.58
Nov-25	47.39
Dec-25	47.57
Jan-26	47.25
Feb-26	47.20
Mar-26	
